,titulo,precio,nRecamaras,m2_construidos,ubicacion,link,imagen,lat,lng
67,Venta Casa Sierra Alta,"$ 24,900,000",4,740,"Sierra Alta 1a Etapa, Monterrey",https://www.lamudi.com.mx/venta-casa-sierra-alta-11.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/44fc21800057d4.jpg,25.577379,-100.2747871
68,RESIDENCIA EN VENTA EN JARDINES DE VALLE ALTO,"$ 16,900,000",3,676,"Sierra Alta 1a Etapa, Monterrey",https://www.lamudi.com.mx/residencia-en-venta-en-jardines-de-valle-alto.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/2058f139ff953f.jpg,25.577379,-100.2747871
69,"Casa En Venta En Sierra Alta, Monterrey, Nuevo Leon","$ 10,600,000",3,25,"Sierra Alta 1a Etapa, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-sierra-alta-monterrey-nuevo-leon-29.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/7a844f80105e35.jpg,25.577379,-100.2747871
70,"Casa En Venta En Sierra Alta 3er Sector, Monterrey, Nuevo Leon","$ 13,400,000",3,460,"Sierra Alta 1a Etapa, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-sierra-alta-3er-sector-monterrey-nuevo-leon.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/35abf763044b6b.jpg,25.577379,-100.2747871
71,"Casa En Venta En Sierra Alta, Monterrey, Nuevo Leon","$ 10,900,000",3,510,"Sierra Alta 1a Etapa, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-sierra-alta-monterrey-nuevo-leon-30.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/e0c82ce292021e.jpg,25.577379,-100.2747871
72,"Casa Venta,Bioma Residencial,AGRADABLE,ESTRICTA SEGURIDAD,Monterrey, Nuevo Leon","$ 9,678,000",3,322,"Sierra Alta 1a Etapa, Monterrey",https://www.lamudi.com.mx/casa-venta-bioma-residencial-agradable-estricta-seguridad-monterrey-nuevo-leon.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/3e341491d2363a.jpg,25.577379,-100.2747871
73,"Casa en Venta,Sierra Alta,Estricta Seguridad,Espectacular,Monterrey,Nuevo Leon","$ 15,950,000",5,600,"Sierra Alta 1a Etapa, Monterrey",https://www.lamudi.com.mx/casa-en-venta-sierra-alta-estricta-seguridad-espectacular-monterrey-nuevo-leon.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/f8e31accb05dd1.jpg,25.577379,-100.2747871
74,"Venta Casa Nueva Equipada Sierra Alta,De Lujo,Zona Sur,Monterrey,Nuevo Leon","$ 16,450,000",5,700,"Sierra Alta 1a Etapa, Monterrey",https://www.lamudi.com.mx/venta-casa-nueva-equipada-sierra-alta-de-lujo-zona-sur-monterrey-nuevo-leon.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/f50716af1db97d.jpg,25.577379,-100.2747871
75,Residencia en Privada Sierra Alta,"$ 19,500,000",4,759,"Sierra Alta 1a Etapa, Monterrey",https://www.lamudi.com.mx/residencia-en-privada-sierra-alta.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/7479d63d7db388.jpg,25.577379,-100.2747871
76,Venta Casa Sierra Alta carretera nacional zona sur,"$ 23,500,000",4,850,"Sierra Alta 1a Etapa, Monterrey",https://www.lamudi.com.mx/venta-casa-sierra-alta-carretera-nacional-zona-sur.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/b1ace132268a7f.jpg,25.577379,-100.2747871
77,Casa en Venta en Sierra Alta Monterrey Nuevo Leon,"$ 17,300,000",4,600,"Sierra Alta 1a Etapa, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-sierra-alta-monterrey-nuevo-leon-13.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/9ff96511997750.jpg,25.577379,-100.2747871
78,"Venta Casa Sierra Alta, Rincon de la Sierra","$ 16,850,000",5,550,"Sierra Alta 1a Etapa, Monterrey",https://www.lamudi.com.mx/venta-casa-sierra-alta-rincon-de-la-sierra.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/1c4814b8596ab4.jpg,25.577379,-100.2747871
